"title","type","schedule","minPrice","maxPrice","cash","cards","mCard","amex","visa","state","del","quarter","zip.code","street","corner","inBetween","numExt","numInt","lat","lon","tel","web","score","cluster"
"lostería becco","italiana","lun-sáb 13:30-00 h, dom 13-18 h",1000,1500,1,1,1,1,1,"Ciudad de México","Miguel Hidalgo","polanco",11550,"goldsmith","","presidente masaryk","103","",19.4326706,-99.20057,"5282 1059","","","3"
"fonda ","mexicana","mar-sáb 13-20 h, dom 13-18 h.",100,200,1,0,0,0,0,"Ciudad de México","Benito Juárez"," valle",-1,"moras","","patricio sanz","347","",19.3753651,-99.173473,"5559 8762","","","2"
"food trade center","internacional","lun-mié 13-22 h, jue-sáb 13-1 h",150,350,1,1,-1,-1,-1,"Ciudad de México","Benito Juárez","nápoles",3810,"maricopa","dakota","","57","",19.3956172,-99.1741112,"5087 9662","","","2"
"pasillo humo","oaxaqueña","lun-dom 9-19 h",350,500,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","condesa",6140,"nuevo león","","michoacán","107","",19.4108943,-99.1726896,"5211 7263","","","2"
"pixza roma","fusión","mar-jue 13-21 h y vie-sáb 14-22 h y dom 14-20 h",100,150,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"córdoba","","coahuila","234","",19.412147,-99.1569535,"2121 0973","","","2"
"pollos mario","internacional","lun-dom 9-19:30 h",100,150,1,0,1,0,1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"medellín","tapachula","","197","",19.4115278,-99.1645214,"4171 9346","","","2"
" nazarenas","pescados mariscos","mie-lun 13-17 h",0,0,1,-1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","roma sur",6760,"tehuantepec","chilpancingo","","254","",19.4038047,-99.1685557,"1596 4630","","","2"
" caméleón","","lun-vie 9-17 h",100,300,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","obrera",6800,"manuel payno","","isabel católica","87","",19.4139869,-99.1397767,"5578 0141","","","2"
"bowie","internacional","lun-mie 13:30-00 h, jue-sab 13:30-1 h, dom 13:30-21 h",400,600,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"córdoba","","álvaro obregón","113","",19.4180895,-99.1584495,"5264 2622","http://www.bowie.com.mx/","Atención:3 - Calidad:3 - Ambiente:3 -","5"
"koku","japonesa","lun-dom 11:30-00 h",350,450,1,1,0,0,0,"Ciudad de México","Cuauhtémoc","cuauhtémoc",6500,"río lerma","","río tigris","94","",19.4298193,-99.1661106,"5207 3344","","Atención:4 - Calidad:4 - Ambiente:4 -","1"
"chaen","japonesa","lun-sáb 11-20 h",200,350,0,0,0,0,0,"Ciudad de México","Benito Juárez","nápoles",3810,"prolongación eugenia","","nebraska","23","",19.3892287,-99.1754646,"5536 8481","","","5"
"tokyo","japonesa","lun-dom 11-23 h",200,400,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","juárez",6600,"hamburgo","","amberes","134","",19.4260017,-99.1652613,"5525 3775","","","2"
"chuck cheeses interlomas","americana","lun-jue 11-21 h, vie-dom 10-22 h.",200,400,1,1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","granada",11520,"ejército nacional","miguel cervantes saavedra","","769","",19.4390389,-99.2008376,"","","","2"
"kochi kochi land centro histórico","japonesa","lun-jue 12:30-20, vie-dom 12:30-21 h",50,150,1,0,0,0,0,"Ciudad de México","Cuauhtémoc","centro",6000,"dolores","","independencia","4D","",19.4339163,-99.142767,"s/n","","","5"
" strada","italiana","lun-mié 9-22 h, jue-sáb 9-23 h, dom 9-19 h",300,450,1,1,-1,-1,-1,"Ciudad de México","Benito Juárez","crédito constructor",3940,"hera","","minerva","38","",19.3646225,-99.1804961,"5661 2619","http://www.lastradadf.com/","","6"
"china girl interlomas","china","lun-dom 13-23 h",250,300,1,1,-1,-1,-1,"Estado De México","Huixquilucan","hacienda palmas",52763,"martín caballero","jesús monte","","1","",19.389685,-99.2918279,"5247 4762","","","2"
"ardente condesa","italiana","lun-mié 13-23 h, jue-sáb 13-24 h, dom 13-19 h",350,500,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","condesa",6140,"laredo","amsterdam","","13","",19.4129198,-99.1709541,"","http://www.ardente.com.mx","","2"
"soul roma","americana","lun-jue 13-23 h, vie-sáb 13-00 h, dom 13-18 h",100,250,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"tabasco","","mérida","101","",19.4196919,-99.1574118,"7155 1299","","Atención:3 - Calidad:3 - Ambiente:3 -","2"
"canalla bistro","","dom-jue 13-00 h, vie-sáb 13-00:30",350,500,1,1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","granada",11520,"ejército nacional","prolongación moliére","","769","",19.4384383,-99.2002702,"5325 7601","","Atención:3 - Calidad:3 - Ambiente:3 -","1"
"ricerca","italiana","mar-dom 9-23 h",250,350,1,1,-1,-1,-1,"Ciudad de México","Alvaro Obregón","san josé olivar",1770,"av toluca","","","1151","",19.3374849,-99.2392438,"6842 0904","","Atención:3 - Calidad:3 - Ambiente:3 -","1"
"lappart","","mar-sáb 14-22:30 h, dom 11-17:30 h,",350,500,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","condesa",6140,"fernando montes oca","","jojutla","64","",19.4134285,-99.1755669,"7155 1302","","Atención:4 - Calidad:4 - Ambiente:4 -","1"
"bartola","mexicana","lun-mié 13:30-00 h, jue y vie 13:30-2 h, sáb y dom 10-2 h",400,600,1,1,-1,-1,-1,"Ciudad de México","Alvaro Obregón","san angel",1000,"altavista","arturo","","154","",19.3491203,-99.1962098,"7595 3104","","Atención:4 - Calidad:4 - Ambiente:4 -","1"
"maison kayser virreyes","francesa","lun-vie 7-22:30 h, sáb y dom 8-22:30 h",40,300,1,1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","molino rey",11040,"torre virreyes pedregal","","","24","",19.4255139,-99.2031318,"5202 3173","","Atención:3 - Calidad:4 - Ambiente:0 -","1"
"mia domenicca","mediterránea","mar-sáb 13:30-23 h, dom 13:30-18 h",350,550,1,1,0,0,0,"Ciudad de México","Cuauhtémoc","roma norte",6700,"durango","cozumel","","279","",19.4191015,-99.1708158,"9130 8456","","Atención:5 - Calidad:5 - Ambiente:5 -","4"
" costilla","mexicana","mar-jue 13-2 h, vie 13-4 h, sáb 13-3 h, dom 13-00 h",200,400,1,-1,1,-1,1,"Ciudad de México","Benito Juárez","narvarte",3020,"cumbres maltrata","glorieta vértiz","","352","",19.3915536,-99.1508229,"5698 9688","","Atención:2 - Calidad:2 - Ambiente:2 -","2"
"trattoria giacovanni interlomas","italiana","lun-mié 13-00 h, jue y vie 13-1 h, sáb 8-1 h, dom 8-22 h",300,500,1,1,-1,-1,-1,"Estado De México","Huixquilucan","lomas herradura",52785,"parque granada","boulevard magnocentro","","57","",19.4063471,-99.271576,"5290 6140","http://giacovanni.com.mx/","","6"
"trattoria giacovanni condesa","italiana","lun-mié 13-00 h, jue y vie 13-1 h, sáb 8-1 h, dom 8-22 h",300,500,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","condesa",6140,"sonora","","avenida méxico","180","Local 6",19.4131935,-99.1677647,"5564 3220","http://giacovanni.com.mx/","","6"
"dli house","mexicana","lun-mié 7-23 h, jue y vie 7-00 h, sáb 8-00 h, dom 8-22 h",100,250,1,1,-1,-1,-1,"Estado De México","Naucalpan","lomas tecamachalco secc fuentes",53950,"av fuentes","","","49","",19.4218298,-99.2384551,"5294 6684","http://delihouse.mx/","","6"
"dragon house zhu","asiáticainternacional","dom-mié 7-23 h, jue-sáb 7-2 h",0,0,0,0,0,0,0,"Ciudad de México","Miguel Hidalgo","polanco chapultepec",11560,"molière","ejército nacional","","353","",19.4380511,-99.2009192,"3228 4000","","","5"
"chucho erizo","pescados mariscos","lun-mié 12-20 h, jue-sáb 12-01 h, dom 11-20 h",300,500,1,1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","anzures",11590,"shakespeare","","emanuel kant","92","",19.4290675,-99.1774858,"7090 0023","","","2"
"papa guapa valle","americana","lun-jue 13-23 h vie y sáb 13-1 h, dom 13-22 h",100,250,1,1,-1,-1,-1,"Ciudad de México","Benito Juárez"," valle",3100,"eugenia","insurgentes","","101","C",19.388831,-99.1738357,"1107 6337","http://papaguapa.com/","Atención:4 - Calidad:4 - Ambiente:4 -","1"
"fonda factor","mexicana","dom-lun 8-18 h, mar-sáb 8-23 h",300,400,1,1,-1,-1,-1,"Ciudad de México","Alvaro Obregón","san angel",1000,"avenida paz","","insurgentes","47","",19.3467454,-99.1891536,"7155 5023","","Atención:3 - Calidad:4 - Ambiente:3 -","4"
"aitana","pescados mariscos","lun-sáb 13:30-00 h, dom 13:30-18 h",500,600,1,1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","molino rey",11040,"pedregal","teapa","","24","",19.4254147,-99.2035727,"5540 3193","","Atención:3 - Calidad:3 - Ambiente:3 -","1"
"astoria gastrobar","asiáticafusión","mar-mié 13:30-00 h, jue-sáb 13:30-1:30 h, dom 13-18 h",350,450,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","condesa",6140,"juan escutia","","tamaulipas","14","",19.4136754,-99.1725941,"6721 0161","","Atención:3 - Calidad:4 - Ambiente:3 -","1"
"carolo santa fe","cafe ","lun-dom 8-12 h (desayuno), 12-00 h (comida y cena)",400,600,1,1,-1,-1,-1,"Ciudad de México","Alvaro Obregón","santa fe",1210,"juan salvador agraz","vasco quiroga","","44","",19.359848,-99.278167,"1664 6069","http://carolo.com.mx/","","2"
"blanco colima restaurante","internacional","lun-mar 13:30-1 h, mié-sáb 13:30-2 h, dom 13:30-18 h",800,1100,1,1,1,1,1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"colima","orizaba","","168","",19.4199513,-99.1598031,"5511 7526","","","3"
"belmondo condesa","internacional","lun-vie 13-00 h, sáb 10-00 h, dom 10-17 h",250,300,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","condesa",6140,"alfonso reyes","","aguascalientes","238","",19.4068299,-99.1728467,"7098 2165","http://www.belmondoroma.com.mx/","Atención:4 - Calidad:4 - Ambiente:4 -","1"
"porco rosso cuauhtémoc","americana","lun-dom 13-22 h",150,300,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","cuauhtémoc",6500,"río nazas","río poo","","111","",19.4312851,-99.1692898,"9155 7672","http://www.porcorossobbq.com/","Atención:3 - Calidad:4 - Ambiente:3 -","5"
"na fo","asiática","dom-mar 13-20 h, lundom 12-23 h",400,500,1,-1,1,-1,1,"Ciudad de México","Cuauhtémoc","juárez",6600,"liverpool","","varsovia","183","",19.4231996,-99.1664824,"5525 0351","","Atención:3 - Calidad:3 - Ambiente:3 -","4"
"dseis","internacionalmexicana","dom-mar 13-20 h, mié-sáb 13-23 h",400,500,1,-1,1,-1,1,"Ciudad de México","Cuauhtémoc","centro ciudad méxico",6000,"dolores","","independencia","16","",19.4334845,-99.1428387,"5510 4733","","Atención:2 - Calidad:2 - Ambiente:2 -","4"
"ficelle","cafe ","lun-sáb 7:30-22 h, dom 8-19 h",150,200,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","condesa",6140,"tamaulipas","","juan escutia","39","",19.4130447,-99.1726808,"5211 7898","","Atención:4 - Calidad:4 - Ambiente:4 -","4"
"newton ","internacional","lun-mié 13-22:30 h, jue-sáb 13-2 h",350,550,1,1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","polanco chapultepec",11560,"newton","lamartine","","105","",19.432497,-99.1899981,"5280 4818","","Atención:3 - Calidad:3 - Ambiente:3 -","1"
"kura","japonesa","mar y mié 13-23 h, jue-sáb 13-00 h, dom 13-19 h",250,350,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"álvaro obregón","","orizaba","120","",19.4180748,-99.1603248,"5264 3285","","Atención:3 - Calidad:3 - Ambiente:3 -","4"
"shizo lounge","japonesa","mar-sáb 13-21 h, dom 13:30-18 h",40,150,1,1,-1,-1,-1,"Ciudad de México","Benito Juárez"," valle",3100,"san francisco","","pedro romero terreros","325","",19.3945027,-99.1703714,"5523 3282","","Atención:3 - Calidad:3 - Ambiente:3 -","2"
" buen bife","americanaargentina","lun-sáb 13-00 h, dom 13-22 h",150,350,1,1,-1,-1,-1,"Ciudad de México","Alvaro Obregón","altavista",1060,"av desierto leones","","insurgentes sur","52","",19.3494568,-99.1893078,"5550 4909","http://www.buenbife.com.mx/","Atención:3 - Calidad:3 - Ambiente:3 -","2"
"fork off","americana","mié-dom 13-20 h",250,350,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","condesa",6140,"aguascalientes","","culiacán","200","",19.4074525,-99.1715815,"5264 5125","","Atención:3 - Calidad:3 - Ambiente:3 -","5"
"rincón tarasco","mexicana","mié-dom 10-16 h",20,150,1,-1,1,-1,1,"Ciudad de México","Miguel Hidalgo","escandón",11800,"comercio",""," octubre","131","",19.400795,-99.1788062,"5516 7802","http://rincontarasco.mx","Atención:3 - Calidad:3 - Ambiente:3 -","2"
"punto pibil","mexicanayucateca","lun-sáb 10-22 h, dom 10-19 h",60,150,1,1,-1,-1,-1,"Ciudad de México","Alvaro Obregón","san angel",1000,"revolución",""," parque","1531","",19.3520141,-99.1904393,"5661 0538","http://puntopibil.com.mx","Atención:3 - Calidad:3 - Ambiente:3 -","2"
"momo sushi","japonesa","lun-sáb 12:30-22:30 h",70,150,1,-1,1,-1,1,"Ciudad de México","Benito Juárez","vértiz narvarte",3600,"uxmal","san borja","","533","",19.3824597,-99.1561633,"6583 4274","","Atención:3 - Calidad:3 - Ambiente:3 -","2"
"marco polo","italiana","mar-vie 13-21 h, sáb y dom 14-21 h",50,150,1,1,-1,-1,-1,"Ciudad de México","Azcapotzalco","clavería",2080,"av clavería","","palestina","158","",19.4651585,-99.1811445,"5396 8134","http://marcopoloclaveria.com","Atención:3 - Calidad:3 - Ambiente:3 -","2"
"gohantin","japonesa","mar-sáb 10-21:30 h",50,150,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"san luis potosí","jalapa","","116","",19.4138896,-99.1600885,"55 2667 2301","","Atención:3 - Calidad:3 - Ambiente:3 -","2"
" comedor san pascual bailongo","mediterránea","lun-vie 13-22 h",60,150,1,-1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","santa maría ribera",6400,"sor juana inés cruz","","james torres bodet","69","",19.4451933,-99.1581698,"5541 4215","","Atención:3 - Calidad:3 - Ambiente:3 -","2"
"chabela pasión maíz","mexicana","lun-sáb 8-20 h",15,150,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"av chapultepec","av sonora","","530","",19.4210039,-99.1740039,"5211 6480","https://www.facebook.com/pasionporelmaiz/?hc_ref=SEARCH&fref=nf","Atención:3 - Calidad:3 - Ambiente:3 -","2"
"casa doce","pescados mariscos","lun-mié 7:30-22 h, jue-vie 7:30-23 h, sáb 8-23 h, dom 8-18 h",60,150,1,1,-1,-1,-1,"Ciudad de México","Benito Juárez"," valle",3100,"luz saviñón","","san francisco","212","",19.3936636,-99.1721976,"1107 7653","http://casa2doce.mx","Atención:3 - Calidad:3 - Ambiente:3 -","2"
"carnitas chabelo","mexicana","vie-mié 10:30-17:30 h",10,240,1,-1,1,-1,1,"Ciudad de México","Venustiano Carranza","emilio carranza",15230,"ferrocarril cintura","plomeros","","247","",19.4492219,-99.1212779,"5795 1234","","Atención:3 - Calidad:3 - Ambiente:3 -","2"
"sushi dashi","japonesa","lun-dom 13-22 h",30,150,1,-1,1,-1,1,"Ciudad de México","Benito Juárez"," valle",3100,"universidad","","eugenia","441","",19.384356,-99.1560751,"6794 9451","","Atención:4 - Calidad:4 - Ambiente:4 -","2"
"pozolería flor maíz","mexicana","lun-vie 8-22 h, sáb-dom 10-22 h",40,100,1,-1,1,-1,1,"Ciudad de México","Benito Juárez","zacahuizco",3550,"plutarco elías calles","","","1419","",19.3768671,-99.1356793,"5532 5511","","Atención:4 - Calidad:4 - Ambiente:4 -","2"
"chilakillers","mexicana","lun-vie 9-17 h, sáb y dom 10-17 h",150,200,1,-1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","tacubaya",11870,"revolución","","progreso","23","",19.4068024,-99.1843621,"5264 2818","","Atención:4 - Calidad:4 - Ambiente:4 -","2"
" buen sazón","mexicana","lun-sáb 8:30-18:30 h",150,250,1,1,-1,-1,-1,"Ciudad de México","Benito Juárez","vértiz narvarte",3600,"san borja","","uxmal","1312","Bis",19.3824978,-99.1563405,"6796 1346","","Atención:4 - Calidad:4 - Ambiente:4 -","2"
"carlota","mexicana","lun-sáb 12-22:30 h, dom 12-19 h",350,550,1,1,-1,-1,-1,"Ciudad de México","Alvaro Obregón","san angel",1000,"plaza carmen","","avenida paz","4","",19.3464672,-99.1896472,"5550 0072","http://restaurantecarlota.com/","Atención:4 - Calidad:4 - Ambiente:4 -","5"
"amaya","fusión","lun-sáb 13:30-23:30 h, dom 12-18 h",600,700,1,1,0,0,0,"Ciudad de México","Cuauhtémoc","juárez",6600,"general prim","","milán","95","",19.4309208,-99.1564039,"5592 5671","","","1"
"bella rafaella","","lun-sáb 8-20 h, dom 9-17 h",150,250,1,-1,1,-1,1,"Ciudad de México","Coyoacán"," carmen",4100,"londres","","división norte","10","B",19.3567073,-99.153416,"6725 5569","","Atención:3 - Calidad:3 - Ambiente:3 -","5"
"alexis gyros","internacional","lun-jue 13-21 h, vie-sáb 13-22 h, dom 13-18 h",100,250,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","roma sur",6760,"manzanillo","","baja california","122","",19.4058888,-99.1648135,"7572 2069","http://alexisgyros.com/","Atención:3 - Calidad:3 - Ambiente:3 -","5"
"cemitas ochentaocho","","lun-sáb 11-20:30 h, dom 11-20 h",150,250,1,1,-1,-1,-1,"Ciudad de México","Benito Juárez"," valle",3100,"concepción béistegui","av colonia valle","","632","A",19.3897375,-99.1668524,"5510 9191","","Atención:3 - Calidad:3 - Ambiente:3 -","5"
"nexo","fusión","lun-sáb 13:30-23 h",400,500,1,1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","polanco chapultepec",11560,"campos elíseos","temístocles","","199","",19.427995,-99.1950225,"5281 5903","","Atención:4 - Calidad:4 - Ambiente:4 -","1"
" bronx","mexicana","lun-dom 12- 2 h",150,200,1,1,-1,-1,-1,"Estado De México","Naucalpan","ciudad satélite",53100,"pafnuncio padilla","","manuel izaguirre","26","",19.5128169,-99.2324974,"5572 0244","","","6"
"ardente pizzeria napoletana","italiana","lun-mié 13-23 h, jue-sáb 13-00 h, dom 13-19 h",150,200,1,1,1,1,1,"Ciudad de México","Álvaro Obregón","jardines pedregal san ángel",1900,"boulevard luz","camino santa teresa","","777","",19.3087584,-99.2115435,"7312 3228","http://www.ardente.com.mx","","5"
" chivitería","argentina","lun-vie 8-21 h, sáb 12-19 h",150,200,1,1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","verónica anzures",11300,"bahía santa bárbara","","bahía palmas","166 A","",19.435023,-99.172459,"","www.lachiviteria.com.mx","","6"
"grab n munch","americana","lun-vie 8-15 h, sáb 10-16 h",150,300,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","cuauhtémoc",6500,"río ganges","río pánuco","","s/n","",19.4281815,-99.1723936,"5207 3076","","Atención:3 - Calidad:3 - Ambiente:3 -","5"
" gambeta","pescados mariscos","lun-mié 11-19 h, jue-sáb 11-20 h",200,400,1,1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","chapultepec morales",11570,"mariano escobedo","spencer","","479","Local 8-10",19.4323107,-99.1823433,"5250 9563","http://www.lagambetamexico.com.mx","Atención:3 - Calidad:3 - Ambiente:3 -","5"
"café parque newton","cafe ","lun-vie 8-22 h, sáb-dom 9-19 h",100,120,1,1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","chapultepec morales",11570,"newton","homero","","215","2A",19.4353788,-99.1885975,"2624 1160","","","2"
"café parque","cafe ","lun-vie 8-22 h, sáb-dom 9-17 h",100,120,1,1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","polanco chapultepec",11560,"emilio castelar","edgar allan poe","","185","B",19.430718,-99.2024346,"5281 8623","http://www.cafedelparque.com","","2"
"mesa nápoles","","",0,0,-1,-1,-1,-1,-1,"Ciudad de México","Benito Juárez","nápoles",3810,"kansas","nueva york","","38","",19.3883661,-99.1756887,"","","","1"
"ice crime","","lun-dom 11-20 h",50,150,1,-1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","verónica anzures",11300,"melchor ocampo","","marina nacional","193","",19.4349931,-99.1707293,"9154 0354","","","5"
"juan molletes","mexicana","mar-dom 10-20 h",100,300,1,-1,1,-1,1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"sinaloa","","cozumel","164","",19.4199475,-99.1708652,"7312 0871","http://juanmolletes.com.mx/","Atención:3 - Calidad:3 - Ambiente:3 -","4"
" negra","mexicana","lun 12-22 h, mar-dom 12-6 h",100,300,1,-1,1,-1,1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"durango","","cozumel","258","",19.419006,-99.1703213,"5511 8631","","Atención:3 - Calidad:3 - Ambiente:3 -","4"
"miss jochito","americana","mar-sáb 14-23 h, dom 13:30-22 h",100,300,1,-1,1,-1,1,"Ciudad de México","Benito Juárez","narvarte",3020,"diagonal san antonio","","petén","1689","",19.3986052,-99.151387,"7091 6901","","Atención:3 - Calidad:3 - Ambiente:3 -","4"
"luna bistró san ángel","fusión","lun-sáb 7-22 h, dom 9-18 h",500,700,1,1,-1,-1,-1,"Ciudad de México","Alvaro Obregón","san angel inn",1060,"desierto leones","avenida flores","","4058","1er Piso",19.3471997,-99.2036519,"6266 6900","","","2"
"luna bistró hamburgo","fusión","lun-sáb 12-00 h, dom 12-22 h",500,600,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","juárez",6600,"hamburgo","","nápoles","32","1er Piso",19.4285655,-99.1597893,"5351 6800","","Atención:3 - Calidad:3 - Ambiente:3 -","3"
"buns dumplings","china","mar-sáb 13-00 h, dom 13-19 h",150,300,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"orizaba","guanajuato","","131","10",19.4168914,-99.1594628,"5264 8638","","Atención:3 - Calidad:3 - Ambiente:3 -","5"
"ummo","italiana","lun-jue 13-21 h, vie y sáb 13-22 h, dom 13-18 h",120,150,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"querétaro","","monterrey","225","24-B",19.414084,-99.164573,"5264 2947","","Atención:3 - Calidad:3 - Ambiente:3 -","5"
"tk terraza grill","mexicana","lun-jue 13-00 h, vie y sáb 13-1 h, dom 13-19 h",400,600,1,1,-1,-1,-1,"Estado De México","Naucalpan","lomas tecamachalco secc fuentes",53950,"fuente trevi","","avenida fuentes","4","",19.4285238,-99.2255652,"5293 0121","","","2"
"j by josé andrés","española","lun-sáb 6:30-23 h, dom 7-23 h",300,600,1,1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","polanco chapultepec",11560,"campos elíseos","","andrés bello","252","",19.4274713,-99.1954487,"9138 1818","http://www.jbyjoseandres.com/es","","2"
"casa fran","española","dom-jue 13-00 h, vie y sáb 13-1 h",600,800,1,1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","polanco chapultepec",11560,"emilio castelar","","calderón barca","163","",19.4303091,-99.1996311,"044 55 5280 1939","http://www.casafran.mx/","","2"
"mog bistro","asiática","lun-dom 13-1 h",300,500,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"frontera","","zacatecas","168","",19.4161708,-99.1551471,"5264 0016","","Atención:4 - Calidad:4 - Ambiente:4 -","5"
"rodizio restaurante cdmx","internacional","lun-sáb 12:30-23 h, dom 12:30-21 h",550,800,1,1,-1,-1,-1,"Ciudad de México","Benito Juárez"," valle",3100,"insurgentes sur","san bernardino","","744","",19.391994,-99.172884,"5687 1037","http://rodiziorestaurante.com/","Atención:4 - Calidad:4 - Ambiente:4 -","6"
"porchetta","internacional","lun 12-18 h, mar-mié 12-22 h, jue-sáb 12-00 h, dom 12-18 h",100,150,1,1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","polanco chapultepec",11560,"campos elíseos","eugenio sue","","247","",19.4277165,-99.1949791,"6840 0588","http://www.porchetta.com.mx/","Atención:3 - Calidad:3 - Ambiente:3 -","5"
" árabe","arabe","lun-dom 10-19 h",150,200,1,1,-1,-1,-1,"Ciudad de México","Alvaro Obregón","santa fe",1210,"prolongación gómez farías","","reforma","223-A","",19.3798373,-99.2509629,"2167 6280","","Atención:3 - Calidad:3 - Ambiente:3 -","5"
"palmares","pescados mariscos","lun-sáb 14-17 h y 18:30-23 h, dom 14-17 h",500,600,1,1,-1,-1,-1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"durango","villadolid","","261","",19.4196231,-99.1677705,"6845 3387","","Atención:3 - Calidad:3 - Ambiente:3 -","4"
" criminales","americana","mar, mié y dom 13:30-21 h, jue, vie y sáb 13:30-23 h",100,150,1,1,-1,-1,-1,"Ciudad de México","Alvaro Obregón","olivar padres",1780,"av toluca","seminario","","585","",19.3384274,-99.2211848,"68406030","http://www.lascriminales.com.mx","","5"
" criminales","americana","mar, mié y dom 13:30-21 h, jue, vie y sáb 13:30-23 h",115,150,1,1,-1,-1,-1,"Ciudad de México","Alvaro Obregón"," aguilas",1710,"calzada águilas","","llanuras","1038","",19.3430098,-99.2403775,"68406030","http://www.lascriminales.com","Atención:5 - Calidad:5 - Ambiente:4 -","5"
"pork buns","americana","lun-sáb 13-22 h, dom 13-18 h",85,150,1,1,-1,-1,-1,"Ciudad de México","Benito Juárez"," valle",3100,"gonzález cossío","luz saviñon","","103","",19.39303,-99.16828,"7312 8662","","Atención:4 - Calidad:4 - Ambiente:4 -","5"
"pan circo","pescados mariscos","mar y mié 14-00 h, jue-sáb 14-1 h, dom 14-00 h",250,300,1,-1,1,-1,1,"Ciudad de México","Cuauhtémoc","roma norte",6700,"álvaro obregón","","","160","",19.3641882,-99.1792521,"7312 9114","","Atención:3 - Calidad:3 - Ambiente:3 -","4"
"matsu","japonesa","lun-dom 12-21 h",25,150,1,-1,1,-1,1,"Ciudad de México","Cuauhtémoc","centro ciudad méxico",6000,"independencia","","dolores","30","PB",19.4331304,-99.1431275,"5518 1083","","Atención:3 - Calidad:3 - Ambiente:3 -","5"
"terraza carlotta","internacional","lun-mié 13-00 h, jue-sáb 13-2 h",500,700,1,1,-1,-1,-1,"Ciudad de México","Miguel Hidalgo","polanco chapultepec",11560,"campos elíseos","reforma","","290","",19.4270036,-99.1967105,"5281 0292","","Atención:4 - Calidad:4 - Ambiente:4 -","5"
"flor viento","healthy food","lun-vie 7-22 h, sáb 8-22 h, dom 8-19 h",50,150,1,-1,1,-1,1,"Ciudad de México","Miguel Hidalgo","polanco chapultepec",11560,"virgilio","virgilio","","9","",19.4303932,-99.1972756,"5280 6987","http://www.flordeviento.mx","","5"
